ID,stop_name,Lat,Lon
1,Airport,-71.030238,42.374328
2,Alewife,-71.142478,42.395426
3,Allston Street,-71.13801669,42.3487252
4,Andrew,-71.057656,42.330153
5,Aquarium,-71.05159,42.359793
6,Arlington,-71.07096127,42.35182125
7,Ashmont,-71.063744,42.284454
8,Assembly,-71.077276,42.392737
9,Babcock Street,-71.12183062,42.35184066
10,Back Bay,-71.075566,42.347403
11,Back of the Hill,-71.11100533,42.32943019
12,Beachmont,-70.992505,42.397202
13,Beaconsfield,-71.14058364,42.33580371
14,Blandford Street,-71.10009323,42.34922874
15,Boston College,-71.16696675,42.34020153
16,Boston University Central,-71.1071882,42.35007803
17,Boston University East,-71.10431551,42.34972697
18,Boston University West,-71.11336671,42.35082318
19,Bowdoin,-71.062038,42.361365
20,Boylston,-71.0645968,42.3529858
21,Braintree,-71.001234,42.207267
22,Brandon Hall,-71.12883419,42.34002244
23,Brigham Circle,-71.10436652,42.3343322
24,Broadway,-71.056946,42.342573
25,Brookline Hills,-71.12645639,42.33128544
26,Brookline Village,-71.11690393,42.33258766
27,Central,-71.103591,42.365325
28,Charles/MGH,-71.070525,42.361137
29,Chestnut Hill,-71.16461742,42.32675787
30,Chestnut Hill Avenue,-71.15288409,42.33835138
31,Chinatown,-71.062396,42.352638
32,Chiswick Road,-71.15099675,42.34059152
33,Cleveland Circle,-71.14899951,42.33623061
34,Community College,-71.069684,42.37368
35,Coolidge Corner,-71.12130073,42.34216468
36,Copley,-71.07740165,42.35007244
37,Davis,-71.121816,42.396748
38,Dean Road,-71.14196716,42.33772891
39,Downtown Crossing,-71.060171,42.354933
40,Eliot,-71.21660769,42.31900258
41,Englewood Avenue,-71.14562033,42.33697749
42,Fairbanks Street,-71.13119299,42.33966169
43,Fenway,-71.10428785,42.34535725
44,Fenwood Road,-71.10591282,42.33361684
45,Fields Corner,-71.061852,42.299941
46,Forest Hills,-71.113972,42.30069
47,Government Center,-71.05939847,42.3595251
48,Green Street,-71.107548,42.310395
49,Griggs Street,-71.1346331,42.34871462
50,Harvard,-71.11896,42.37337
51,Harvard Avenue,-71.13143807,42.35023368
52,Hawes Street,-71.11145938,42.34480603
53,Haymarket,-71.0578155,42.36211976
54,Heath Street,-71.11032827,42.32827237
55,Hynes Convention Center,-71.08734707,42.34799493
56,Jackson Square,-71.099783,42.323115
57,JFK/Umass,-71.052364,42.320605
58,Kendall/MIT,-71.086225,42.36224
59,Kenmore,-71.09563663,42.34895474
60,Kent Street,-71.11435736,42.34400885
61,Lechmere,-71.07707269,42.37094828
62,Longwood,-71.1099462,42.34170003
63,Longwood Medical Area,-71.09953719,42.33617687
64,Malden Center,-71.07429,42.426844
65,Mass Ave,-71.083553,42.341516
66,Maverick,-71.039536,42.369128
67,Mission Park,-71.10945509,42.33320176
68,Museum of Fine Arts,-71.09502125,42.33791763
69,Newton Centre,-71.19240201,42.32944447
70,Newton Highlands,-71.20552678,42.32238296
71,North Quincy,-71.030152,42.275791
72,North Station,-71.06014973,42.36528274
73,Northeastern University,-71.08969498,42.34005713
74,Oak Grove,-71.071099,42.43668
75,Orient Heights,-71.004836,42.386939
76,Packards Corner,-71.12531664,42.35174607
77,Park Street,-71.06245998,42.35637257
78,Pleasant Street,-71.11908597,42.35151408
79,Porter,-71.119147,42.388388
80,Prudential,-71.08135881,42.3455969
81,Quincy Adams,-71.007153,42.233391
82,Quincy Center,-71.005502,42.251991
83,Reservoir,-71.14825212,42.33517767
84,Revere Beach,-70.992528,42.407864
85,Riverside,-71.25249627,42.33743651
86,Riverway,-71.11190623,42.33154314
87,Roxbury Crossing,-71.095475,42.331335
88,Ruggles,-71.089407,42.336646
89,Saint Marys Street,-71.1074133,42.34593902
90,Saint Paul Street(B),-71.11631147,42.35118253
91,Saint Paul Street C,-71.11726117,42.34320646
92,Savin Hill,-71.053332,42.311253
93,Science Park,-71.06781746,42.36674975
94,Shawmut,-71.065803,42.293129
95,South Station,-71.055105,42.351877
96,South Street,-71.15725216,42.33947194
97,State,-71.057329,42.358718
98,Stony Brook,-71.104196,42.317229
99,Suffolk Downs,-70.997122,42.390501
100,Sullivan Square,-71.076999,42.384263
101,Summit Avenue,-71.12577232,42.3410482
102,Sutherland Road,-71.14627236,42.34157797
103,Symphony,-71.08485866,42.34268955
104,Tappan Street,-71.13845491,42.33853131
105,Tufts Medical Center,-71.063917,42.349661
106,Waban,-71.23056452,42.32580887
107,Warren Street,-71.14041885,42.34839892
108,Washington Square,-71.13480835,42.33951239
109,Washington Street,-71.14262516,42.34404537
110,Wellington,-71.077145,42.401668
111,Wollaston,-71.020514,42.266769
112,Wonderland,-70.9916,42.413643
113,Wood Island,-71.022898,42.379609
114,Woodland,-71.24336702,42.3329034
